test_id,query,expected_docs,Exp9a1_chunk500_precision,Exp9a1_chunk500_recall,Exp9a1_chunk500_retrieved_docs,Exp9a1_chunk500_retrieved_text,Exp9a2_chunk700_precision,Exp9a2_chunk700_recall,Exp9a2_chunk700_retrieved_docs,Exp9a2_chunk700_retrieved_text,Quality Check Result (A1),Quality Check Result (A2),Note
ecom_easy_011,Apakah transaksi di TokoPedia aman?,product_faq.md,0.333,1,product_faq.md; policy_returns.md; contact_escalation.md,"[Docs] ## Keamanan Transaksi

### Q: Apakah transaksi di TokoPedia aman?
**A:** Ya, kami menggunakan:
- Enkripsi SSL untuk semua transaksi
- Sistem escrow (dana ditahan sampai barang diterima)
- Verifikasi 2 langkah untuk akun
- Monitoring 24/7 untuk aktivitas mencurigakan",0.5,1,product_faq.md; policy_returns.md,"[Docs] ### Q: Kenapa voucher saya tidak bisa digunakan?
**A:** Voucher mungkin tidak berlaku karena:
- Minimum pembelian tidak terpenuhi
- Voucher sudah kadaluarsa
- Produk tidak termasuk dalam kategori voucher
- Kuota voucher sudah habis

## Keamanan Transaksi

### Q: Apakah transaksi di TokoPedia aman?
**A:** Ya, kami menggunakan:
- Enkripsi SSL untuk semua transaksi
- Sistem escrow (dana ditahan sampai barang diterima)
- Verifikasi 2 langkah untuk akun
- Monitoring 24/7 untuk aktivitas mencur...",1,0.8,
ecom_easy_012,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,0.5,1,product_faq.md; troubleshooting_guide.md,"[Docs] ### Q: Berapa lama batas waktu pembayaran?
**A:** 
- Transfer Bank/VA: 24 jam
- E-wallet: 2 jam
- Kartu Kredit/Debit: Instant
- Setelah batas waktu, pesanan otomatis dibatalkan

### Q: Apakah bisa COD (Cash on Delivery)?
**A:** COD tersedia untuk:
- Wilayah tertentu (cek saat checkout)
- Maksimal transaksi Rp 5.000.000
- Tidak berlaku untuk produk Pre-Order

---
*Dokumen ini update terakhir: Januari 2025*
*Untuk pertanyaan lain, hubungi CS di 1500-600*",0.5,1,policy_returns.md; product_faq.md,"[Docs] ### Q: Bagaimana jika saya menerima produk palsu?
**A:** Segera laporkan melalui:
1. Klik ""Komplain"" di detail pesanan
2. Upload bukti foto/video
3. Tim kami akan investigasi dalam 2x24 jam
4. Dana akan dikembalikan 100% jika terbukti palsu

## Metode Pembayaran

### Q: Apa saja metode pembayaran yang tersedia?
**A:** 
- Transfer Bank (BCA, Mandiri, BNI, BRI)
- Virtual Account
- E-wallet (GoPay, OVO, DANA, ShopeePay)
- Kartu Kredit/Debit
- TokoPedia PayLater (cicilan tanpa kartu kredit)

...",1,0,
ecom_easy_013,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,1,1,troubleshooting_guide.md,"[Docs] ## Masalah Teknis Aplikasi

### Aplikasi sering crash/force close
**Troubleshooting:**
1. Update ke versi terbaru
2. Clear cache aplikasi
3. Restart device
4. Reinstall aplikasi
5. Cek storage tersisa (minimal 1GB)

### Gambar/halaman tidak loading
**Cek list:**
- Koneksi internet stabil (min 3G)
- Matikan VPN/Proxy
- Ganti DNS ke 8.8.8.8
- Coba browser/device lain
- Clear cookies dan cache browser",0.5,1,troubleshooting_guide.md; contact_escalation.md,"[Docs] ## Masalah Teknis Aplikasi

### Aplikasi sering crash/force close
**Troubleshooting:**
1. Update ke versi terbaru
2. Clear cache aplikasi
3. Restart device
4. Reinstall aplikasi
5. Cek storage tersisa (minimal 1GB)

### Gambar/halaman tidak loading
**Cek list:**
- Koneksi internet stabil (min 3G)
- Matikan VPN/Proxy
- Ganti DNS ke 8.8.8.8
- Coba browser/device lain
- Clear cookies dan cache browser

---
*Quick Response Code:*
- Login issue: #LOG
- Payment problem: #PAY
- Shipping trouble:...",1,0.8,
ecom_easy_014,Email CS TokoPedia apa ya?,contact_escalation.md,1,1,contact_escalation.md,"[Docs] ### Partnership/B2B:
- Email: partnership@tokopedia.com
- Untuk kerja sama bisnis only

### Kantor Pusat:
```
Tokopedia Tower
Jl. Prof. Dr. Satrio Kav. 11
Jakarta 12950
(Tidak melayani walk-in complaint)
```

---
*Tips Terakhir:*
- Simpan semua komunikasi sebagai bukti
- Catat nama CS dan waktu handling
- Eskalasi bertahap, jangan loncat level
- Kesabaran adalah kunci resolusi cepat

*Quick Escalation Code: Sebut ""PRIORITY-ESC"" untuk case urgent*
[Docs] ## Eskalasi Matrix

| Masalah | Lev...",1,1,contact_escalation.md,"[Docs] ## Kontak Darurat Khusus

### Media Relations (hanya untuk pers):
- Email: pr@tokopedia.com
- Tidak melayani komplain user

### Partnership/B2B:
- Email: partnership@tokopedia.com
- Untuk kerja sama bisnis only

### Kantor Pusat:
```
Tokopedia Tower
Jl. Prof. Dr. Satrio Kav. 11
Jakarta 12950
(Tidak melayani walk-in complaint)
```

---
*Tips Terakhir:*
- Simpan semua komunikasi sebagai bukti
- Catat nama CS dan waktu handling
- Eskalasi bertahap, jangan loncat level
- Kesabaran adalah kunc...",0,0,"yaa, seemly tough question, like cs term butuh paraphrase gitu"
ecom_easy_015,Apakah ongkir di-refund kalau return?,policy_returns.md,1,1,policy_returns.md,"[Docs] ### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak dikirim
  - Produk palsu dari Official Store
  - Kesalahan sistem TokoPedia
  
- **Refund - ongkir** untuk:
  - Return karena berubah pikiran
  - Salah pesan dari pembeli
  
- **Partial refund** untuk:
  - Produk kurang lengkap tapi masih bisa digunakan
  - Kesepakatan pembeli-penjual

### Refund Ongkir:
Ongkir di-refund JIKA:
- Penjual kirim produk salah
- Produk rusak karena packaging buruk
- Penjual membatalkan sepihak
[Docs...",1,1,policy_returns.md,"[Docs] ### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak dikirim
  - Produk palsu dari Official Store
  - Kesalahan sistem TokoPedia
  
- **Refund - ongkir** untuk:
  - Return karena berubah pikiran
  - Salah pesan dari pembeli
  
- **Partial refund** untuk:
  - Produk kurang lengkap tapi masih bisa digunakan
  - Kesepakatan pembeli-penjual

### Refund Ongkir:
Ongkir di-refund JIKA:
- Penjual kirim produk salah
- Produk rusak karena packaging buruk
- Penjual membatalkan sepihak

Ongk...",0,0,meleset dikit dibawah
ecom_edge_001,gmna cra retrn brng yg rusk?,policy_returns.md,1,1,policy_returns.md,"[Docs] ### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
- Underwear dan produk kesehatan personal
- Produk dengan tag ""No Return"" yang jelas

### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko
[Docs] #...",0.333,1,troubleshooting_guide.md; contact_escalation.md; policy_returns.md,"[Docs] ### Paket diterima dalam kondisi rusak
**Langkah immediate:**
1. **JANGAN konfirmasi pesanan diterima**
2. Foto/video kondisi paket (packaging + isi)
3. Buat komplain dengan kategori ""Barang Rusak""
4. Tolak paket jika kerusakan parah (saat kurir masih ada)

### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect (biaya tambahan)
- Jika gagal, paket ...",-0.667,+0.000,tough question
ecom_edge_002,cs ny gmn kontk ny,contact_escalation.md,0.5,1,contact_escalation.md; troubleshooting_guide.md,"[Docs] ### Tim Mediasi Sengketa
**Aktivasi ketika:**
- Dispute buyer-seller > 7 hari
- Klaim garansi ditolak
- Return kompleks
- Nilai transaksi > Rp 5 juta

**Proses:**
- Auto-escalate dari CS reguler
- Mediator assigned dalam 24 jam
- Keputusan final: 3-5 hari kerja

### Legal & Compliance
**Untuk kasus:**
- Pemalsuan dokumen
- Pelanggaran HAKI
- Kasus ke ranah hukum
- Permintaan data dari aparat

**Kontak:**
- Email: legal@tokopedia.com
- Surat resmi ke kantor pusat
- Tidak melayani user lang...",1,1,contact_escalation.md,"[Docs] **Proses:**
- Auto-escalate dari CS reguler
- Mediator assigned dalam 24 jam
- Keputusan final: 3-5 hari kerja

### Legal & Compliance
**Untuk kasus:**
- Pemalsuan dokumen
- Pelanggaran HAKI
- Kasus ke ranah hukum
- Permintaan data dari aparat

**Kontak:**
- Email: legal@tokopedia.com
- Surat resmi ke kantor pusat
- Tidak melayani user langsung

## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fraud in-progress
- Data pribadi ters...",0,0,tough question
ecom_edge_003,Saya mau komplain produk tapi juga mau tanya promo,policy_returns.md; product_faq.md,0.5,0.5,troubleshooting_guide.md; policy_returns.md,"[Docs] **Proses komplain:**
- Ajukan dalam 2x24 jam setelah terima
- Pilih alasan ""Produk tidak sesuai""
- Tunggu mediasi penjual-pembeli
- Eskalasi ke TokoPedia jika tidak ada solusi

### Produk cacat/tidak berfungsi
**Dokumentasi wajib:**
- Video yang menunjukkan cacat/kerusakan
- Foto serial number/label produk
- Bukti testing untuk produk elektronik

**Opsi solusi:**
1. Refund penuh
2. Tukar dengan produk sama
3. Perbaikan (jika garansi tersedia)

## Masalah Teknis Aplikasi
[Docs] ### Step 3:...",0.5,0.5,policy_returns.md; troubleshooting_guide.md,"[Docs] ### Step 3: Kirim Balik Produk
**Packaging:**
- Gunakan packaging original jika ada
- Sertakan semua aksesoris/bonus
- Print label return dari sistem
- Foto paket sebelum kirim sebagai bukti

**Pengiriman:**
- Gunakan kurir yang ditentukan sistem
- Input resi dalam 3x24 jam
- Ongkir ditanggung pembeli (kecuali kesalahan penjual)

### Step 4: Verifikasi Penjual
- Penjual cek kondisi produk (maks 2 hari)
- Konfirmasi penerimaan di sistem
- Jika ada dispute, TokoPedia akan mediasi

## Kebija...",0.5,0,tough question
ecom_edge_004,Refund atau ganti barang?,policy_returns.md,1,1,policy_returns.md,"[Docs] Ongkir TIDAK di-refund JIKA:
- Pembeli berubah pikiran
- Salah pilih ukuran/warna (kesalahan pembeli)
- Return karena tidak suka

## Kasus Khusus

### Garansi Resmi vs Garansi Toko
**Garansi Resmi:**
- Klaim langsung ke service center brand
- TokoPedia bantu fasilitasi dokumen
- Berlaku nasional

**Garansi Toko:**
- Klaim melalui penjual
- Durasi dan coverage sesuai ketentuan toko
- Biasanya hanya replace, bukan refund
[Docs] # Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Retu...",1,1,policy_returns.md,"[Docs] ## Kasus Khusus

### Garansi Resmi vs Garansi Toko
**Garansi Resmi:**
- Klaim langsung ke service center brand
- TokoPedia bantu fasilitasi dokumen
- Berlaku nasional

**Garansi Toko:**
- Klaim melalui penjual
- Durasi dan coverage sesuai ketentuan toko
- Biasanya hanya replace, bukan refund

### Produk Bundle/Paket
- Return harus seluruh item dalam bundle
- Tidak bisa return sebagian
- Refund dihitung dari harga bundle, bukan satuan

### Flash Sale/Diskon Besar
- Tetap bisa return dengan...",1,1,Tidak bisa dinilai
ecom_edge_005,Resep nasi goreng yang enak apa ya?,,0,1,policy_returns.md,"[Docs] ### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
- Underwear dan produk kesehatan personal
- Produk dengan tag ""No Return"" yang jelas

### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko
[Docs] #...",0,1,policy_returns.md,"[Docs] # Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim (warna/ukuran/model)
- Produk tidak lengkap/kurang aksesoris
- Produk tidak original (untuk Official Store)

### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus...",1,1,Tidak bisa dinilai
ecom_hard_001,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md; product_faq.md,1,0.5,policy_returns.md,"[Docs] ### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
- Underwear dan produk kesehatan personal
- Produk dengan tag ""No Return"" yang jelas

### Batas waktu pengajuan return:
- **Elektronik**: 7 hari sejak diterima
- **Fashion**: 3 hari sejak diterima
- **Lainnya**: 2 hari sejak diterima
- **Garansi toko**: Sesuai ketentuan masing-masing toko
[Docs] #...",1,0.5,policy_returns.md,"[Docs] # Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Return

### Produk yang BISA di-return:
- Produk rusak/cacat dari pabrik
- Produk tidak sesuai deskripsi/foto
- Produk salah kirim (warna/ukuran/model)
- Produk tidak lengkap/kurang aksesoris
- Produk tidak original (untuk Official Store)

### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus...",1,1,"advanced question, perhaps need require real cs"
ecom_hard_002,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md; policy_returns.md,1,1,policy_returns.md; contact_escalation.md,"[Docs] ### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak dikirim
  - Produk palsu dari Official Store
  - Kesalahan sistem TokoPedia
  
- **Refund - ongkir** untuk:
  - Return karena berubah pikiran
  - Salah pesan dari pembeli
  
- **Partial refund** untuk:
  - Produk kurang lengkap tapi masih bisa digunakan
  - Kesepakatan pembeli-penjual

### Refund Ongkir:
Ongkir di-refund JIKA:
- Penjual kirim produk salah
- Produk rusak karena packaging buruk
- Penjual membatalkan sepihak
[Docs...",1,1,contact_escalation.md; policy_returns.md,"[Docs] **Proses:**
- Auto-escalate dari CS reguler
- Mediator assigned dalam 24 jam
- Keputusan final: 3-5 hari kerja

### Legal & Compliance
**Untuk kasus:**
- Pemalsuan dokumen
- Pelanggaran HAKI
- Kasus ke ranah hukum
- Permintaan data dari aparat

**Kontak:**
- Email: legal@tokopedia.com
- Surat resmi ke kantor pusat
- Tidak melayani user langsung

## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fraud in-progress
- Data pribadi ters...",1,1,"advanced question, perhaps need require real cs"
