test_id,category,difficulty,query,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,true_positives,false_positives,false_negatives,context_tokens,latency_ms
ecom_easy_011,product,easy,Apakah transaksi di TokoPedia aman?,product_faq.md,product_faq.md; policy_returns.md,2,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,193,26.05
ecom_easy_012,payment,easy,Berapa lama batas waktu bayar setelah checkout?,product_faq.md,product_faq.md; policy_returns.md; troubleshooting_guide.md,1,0.333,1.0,0.5,1.0,product_faq.md,troubleshooting_guide.md; policy_returns.md,None,115,24.02
ecom_easy_013,technical,easy,"Aplikasi sering crash, solusinya apa?",troubleshooting_guide.md,troubleshooting_guide.md; contact_escalation.md,1,0.5,1.0,0.667,1.0,troubleshooting_guide.md,contact_escalation.md,None,102,27.1
ecom_easy_014,contact,easy,Email CS TokoPedia apa ya?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,114,25.99
ecom_easy_015,returns,easy,Apakah ongkir di-refund kalau return?,policy_returns.md,policy_returns.md,3,1.0,1.0,1.0,1.0,policy_returns.md,None,None,354,24.22
ecom_medium_001,returns,medium,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md; contact_escalation.md,policy_returns.md,3,1.0,0.5,0.667,1.0,policy_returns.md,None,contact_escalation.md,348,25.2
ecom_medium_002,payment,medium,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,1,1.0,1.0,1.0,1.0,troubleshooting_guide.md; policy_returns.md,None,None,105,26.74
ecom_medium_003,shipping,medium,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md; policy_returns.md,troubleshooting_guide.md; policy_returns.md,4,1.0,1.0,1.0,1.0,troubleshooting_guide.md; policy_returns.md,None,None,463,25.09
ecom_medium_004,account,medium,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md; contact_escalation.md,troubleshooting_guide.md; contact_escalation.md; product_faq.md,1,0.667,1.0,0.8,1.0,troubleshooting_guide.md; contact_escalation.md,product_faq.md,None,124,25.62
ecom_medium_005,returns,medium,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,450,25.82
ecom_medium_006,returns,medium,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,2,1.0,1.0,1.0,1.0,policy_returns.md,None,None,218,25.18
ecom_medium_007,contact,medium,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md,1,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,125,27.1
ecom_medium_008,payment,medium,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md; policy_returns.md,1,0.5,1.0,0.667,1.0,product_faq.md,policy_returns.md,None,65,26.28
ecom_hard_001,returns,hard,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md; product_faq.md,policy_returns.md,4,1.0,0.5,0.667,1.0,policy_returns.md,None,product_faq.md,430,31.65
ecom_hard_002,contact,hard,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md; policy_returns.md,policy_returns.md; troubleshooting_guide.md; contact_escalation.md,4,0.667,1.0,0.8,1.0,contact_escalation.md; policy_returns.md,troubleshooting_guide.md,None,475,33.35
ecom_edge_001,returns,easy,gmna cra retrn brng yg rusk?,policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,465,26.33
ecom_edge_002,contact,easy,cs ny gmn kontk ny,contact_escalation.md,contact_escalation.md,4,1.0,1.0,1.0,1.0,contact_escalation.md,None,None,483,27.58
ecom_edge_003,product,medium,Saya mau komplain produk tapi juga mau tanya promo,policy_returns.md; product_faq.md,policy_returns.md; troubleshooting_guide.md,4,0.5,0.5,0.5,1.0,policy_returns.md,troubleshooting_guide.md,product_faq.md,427,25.44
ecom_edge_004,returns,easy,Refund atau ganti barang?,policy_returns.md,policy_returns.md,4,1.0,1.0,1.0,1.0,policy_returns.md,None,None,391,26.73
ecom_edge_005,out_of_scope,easy,Resep nasi goreng yang enak apa ya?,None,policy_returns.md,4,0.0,1.0,0.0,0.0,None,policy_returns.md,None,443,27.93
