query_id,difficulty,category,query_text,expected_docs,retrieved_docs,num_chunks,precision,recall,f1_score,mrr,chunk_1_preview,chunk_1_preview (bge3),chunk_2_preview,chunk_2_preview (bge3),chunk_3_preview,context_tokens,context_tokens (bge3),inspection_notes
ecom_edge_001,easy,returns,gmna cra retrn brng yg rusk?,policy_returns.md,policy_returns.md,3,1,1,1,1,"### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
-...","## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fraud in-progress
- Data pribadi tersebar
- Ancaman keselamatan

### Kategori HIGH...",#...,"## Eskalasi Matrix

| Masalah | Level 1 ...",,341,337,
ecom_edge_002,easy,contact,cs ny gmn kontk ny,contact_escalation.md,contact_escalation.md,3,1,1,1,1,"### Template komunikasi efektif:
```
Halo CS, saya [nama] mengalami [masalah].
Order ID: [XXXX]
Kronologi: [waktu dan detail kejadian]
Bukti: [terlampir]
Harapan solusi: [refund/replace/etc]
```

###...","### Kategori LOW (Response <48 jam):
- Saran & feedback
- Pertanyaan umum
- Request fitur
- Report bug minor

## Tips Efektif Kontak CS

### Persiapkan sebelum kontak:
1. **Order ID** atau nomor...",,"### Tim Mediasi Sengketa
**Aktivasi ketika:**
- Dispute buyer-seller > 7 hari
- Klaim garansi ditolak
- Return kompleks
- Nilai transaksi > Rp 5 juta

**Proses:**
- Auto-escalate ...",,357,321,
ecom_edge_003,medium,product,Saya mau komplain produk tapi juga mau tanya promo,policy_returns.md | product_faq.md,policy_returns.md | troubleshooting_guide.md,3,0.5,0.5,0.5,1,"Ongkir TIDAK di-refund JIKA:
- Pembeli berubah pikiran
- Salah pilih ukuran/warna (kesalahan pembeli)
- Return karena tidak suka

## Kasus Khusus

### Garansi Resmi vs Garansi Toko
**Garansi...","**Proses komplain:**
- Ajukan dalam 2x24 jam setelah terima
- Pilih alasan ""Produk tidak sesuai""
- Tunggu mediasi penjual-pembeli
- Eskalasi ke TokoPedia jika tidak ada solusi

### Produk cacat/tidak...","# Kebijakan Return & Refund - TokoPedia

## Ketentuan Umum Retu...",## FAQ Retu...,,304,369,
ecom_edge_004,easy,returns,Refund atau ganti barang?,policy_returns.md,policy_returns.md,3,1,1,1,1,"### Q: Refund partial itu bagaimana?
**A:** Contoh: Beli 5 item, 1 rusak. Bisa refund hanya untuk 1 item tersebut tanpa return semua.

---
*Catatan Penting:*
- Screenshot semua komunikasi dengan...","## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa toko terima ""change of mind"" tapi ongkir ditanggung pembeli.

### Q: Bagaimana jika penjual...","## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa...",,,267,369,
ecom_edge_005,easy,out_of_scope,Resep nasi goreng yang enak apa ya?,,policy_returns.md,3,0,1,0,0,"### Produk yang TIDAK BISA di-return:
- Produk digital (voucher, software, top-up)
- Makanan, minuman, dan produk kadaluarsa
- Produk custom/made-by-order
- Produk yang sudah dibuka segel khusus
-...","**Yang perlu disiapkan:**
- Screenshot tracking terakhir
- Foto penerima jika status ""Delivered""
- Kronologi lengkap

### Paket diterima dalam kondisi rusak
**Langkah immediate:**
1. **JANGAN...",#...,"## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fra...",,321,287,
ecom_hard_001,hard,returns,"Barang sampai rusak, seller bilang ini custom order jadi tidak bisa return. Tapi di listing tidak ada informasi itu sama sekali. Apa hak saya sebagai pembeli?",policy_returns.md | product_faq.md,policy_returns.md,3,1,0.5,0.667,1,"Ongkir TIDAK di-refund JIKA:
- Pembeli berubah pikiran
- Salah pilih ukuran/warna (kesalahan pembeli)
- Return karena tidak suka

## Kasus Khusus

### Garansi Resmi vs Garansi Toko
**Garansi...","### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect...","### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak d...",,,307,309,
ecom_hard_002,hard,contact,Saya sudah eskalasi masalah ke CS biasa tapi tidak ada solusi setelah 5 hari. Penjual tetap tidak mau proses refund padahal barang tidak dikirim. Langkah terakhir saya apa? Apakah bisa langsung ke tim legal atau ada jalur lain?,contact_escalation.md | policy_returns.md,policy_returns.md | troubleshooting_guide.md,3,0.5,0.5,0.5,1,"### Nominal Refund:
- **100% refund** untuk:
  - Produk tidak dikirim
  - Produk palsu dari Official Store
  - Kesalahan sistem TokoPedia
  
- **Refund - ongkir** untuk:
  - Return karena berubah...","**Solusi:**
1. Pastikan nominal transfer tepat hingga digit terakhir
2. Tunggu 10-30 menit untuk proses verifikasi
3. Upload bukti transfer di halaman pesanan
4. Pastikan transfer ke VA yang benar...",,"### Tim Mediasi Sengketa
**Aktivasi ketika:**
- Dispute buyer-seller > 7...",,349,332,
ecom_medium_001,medium,returns,"Saya mau return barang tapi penjual tidak respon sudah 3 hari, bagaimana?",policy_returns.md | contact_escalation.md,policy_returns.md,2,1,0.5,0.667,1,"## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa toko terima ""change of mind"" tapi ongkir ditanggung pembeli.

### Q: Bagaimana jika penjual...","## Prosedur Return

### Step 1: Ajukan Return
1. Buka ""Pesanan Saya"" → pilih transaksi
2. Klik ""Ajukan Return/Refund""
3. Pilih alasan return dari dropdown
4. Upload bukti (foto/video) minimal 3...",,"## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebij...",,247,225,
ecom_medium_002,medium,payment,"Bayar sudah terpotong tapi pesanan gagal, uangnya kapan balik?",troubleshooting_guide.md | policy_returns.md,troubleshooting_guide.md | policy_returns.md,1,1,1,1,1,"## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...","## Masalah Pembayaran

### Pembayaran gagal tapi saldo terpotong
**Gejala:** Notifikasi gagal tapi uang sudah terpotong dari rekening

**Solusi:**
1. **Jangan bayar ulang!**
2. Cek status pesanan...",,,,105,105,
ecom_medium_003,medium,shipping,"Paket diterima rusak, tapi sudah saya klik terima pesanan. Masih bisa komplain?",troubleshooting_guide.md | policy_returns.md,troubleshooting_guide.md,3,1,0.5,0.667,1,"### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubahan ditanggung pembeli

**Jika sudah dikirim:**
- Koordinasi dengan kurir untuk redirect...","**Yang perlu disiapkan:**
- Screenshot tracking terakhir
- Foto penerima jika status ""Delivered""
- Kronologi lengkap

### Paket diterima dalam kondisi rusak
**Langkah immediate:**
1. **JANGAN...",,"### Alamat pengiriman salah
**Jika belum dikirim:**
- Hubungi penjual SEGERA untuk ubah alamat
- Biaya perubaha...",,341,341,
ecom_medium_004,medium,account,"Akun saya ter-hack dan ada transaksi mencurigakan, langkah apa yang harus dilakukan?",troubleshooting_guide.md | contact_escalation.md,troubleshooting_guide.md | contact_escalation.md,1,1,1,1,1,"**Solusi:**
1. Tunggu hingga 5 menit
2. Cek folder spam untuk OTP email
3. Pastikan nomor HP aktif dan ada sinyal
4. Klik ""Kirim Ulang OTP"" (maksimal 3x)
5. Ganti metode OTP (SMS ↔ Email)

### Akun...","**Solusi:**
1. Tunggu hingga 5 menit
2. Cek folder spam untuk OTP email
3. Pastikan nomor HP aktif dan ada sinyal
4. Klik ""Kirim Ulang OTP"" (maksimal 3x)
5. Ganti metode OTP (SMS ↔ Email)

### Akun...",,,,124,124,"✂️ dokumen sesuai, namun text tidak sesuai. dikit lagi sesuai, sekitar bebrapa poin text"
ecom_medium_005,medium,returns,"Mau tukar ukuran baju yang sudah dibeli, prosesnya bagaimana?",policy_returns.md,policy_returns.md,3,1,1,1,1,"## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa toko terima ""change of mind"" tapi ongkir ditanggung pembeli.

### Q: Bagaimana jika penjual...","## FAQ Return/Refund

### Q: Bolehkah return karena tidak suka?
**A:** Tergantung kebijakan toko. Beberapa toko terima ""change of mind"" tapi ongkir ditanggung pembeli.

### Q: Bagaimana jika penjual...",,,,353,356,"✂️ dokumen sesuai, namun text tidak sesuai. dikit lagi sesuai, sekitar bebrapa poin text"
ecom_medium_006,medium,returns,"Saya beli paket bundle, bisa return salah satu item saja atau harus semua?",policy_returns.md,policy_returns.md,2,1,1,1,1,"### Produk Bundle/Paket
- Return harus seluruh item dalam bundle
- Tidak bisa return sebagian
- Refund dihitung dari harga bundle, bukan satuan

### Flash Sale/Diskon Besar
- Tetap bisa return dengan...","### Produk Bundle/Paket
- Return harus seluruh item dalam bundle
- Tidak bisa return sebagian
- Refund dihitung dari harga bundle, bukan satuan

### Flash Sale/Diskon Besar
- Tetap bisa return dengan...",### Q...,### Q...,,218,218," ✅ Perfect nih, mungkin kebetulan pendek juga, jadi gak kepotong"
ecom_medium_007,medium,contact,Response time CS berapa lama untuk kasus yang high priority?,contact_escalation.md,contact_escalation.md,3,1,1,1,1,"## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fraud in-progress
- Data pribadi tersebar
- Ancaman keselamatan

### Kategori HIGH...","## Prioritas & SLA

### Kategori URGENT (Response <2 jam):
- Akun di-hack dengan kerugian aktif
- Transaksi fraud in-progress
- Data pribadi tersebar
- Ancaman keselamatan

### Kategori HIGH...","### Kategori LOW (Response <48 jam):
- S...","### Kategori LOW (Response <48 jam):
- S...",,317,291,"✂️ dokumen sesuai, namun text Kepotong. dikit lagi sesuai"
ecom_medium_008,medium,payment,"Voucher tidak bisa dipakai padahal belum expired, kenapa ya?",product_faq.md,product_faq.md | policy_returns.md,1,0.5,1,0.667,1,"### Q: Kenapa voucher saya tidak bisa digunakan?
**A:** Voucher mungkin tidak berlaku karena:
- Minimum pembelian tidak terpenuhi
- Voucher sudah kadaluarsa
- Produk tidak termasuk dalam kategori...","### Q: Kenapa voucher saya tidak bisa digunakan?
**A:** Voucher mungkin tidak berlaku karena:
- Minimum pembelian tidak terpenuhi
- Voucher sudah kadaluarsa
- Produk tidak termasuk dalam kategori...",,,,65,65,"✂️ dokumen sesuai, text sesuai banget, namun satu point kepotong, but its okay, not that bad"
